id,curso,eje,codigo_oa,texto_oa,habilidad_evaluada,condiciones_curriculares,contexto,model,prompt,problem,solution,answer,raw_response,parse_error
MA01-OA-02-01,1° básico,Números y operaciones,MA01 OA 02,"Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).",identificar una posición ordinal,Usar números ordinales desde 1º hasta 10º.,fila de estudiantes,HuggingFaceTB/SmolLM3-3B,"Genera un problema matemático verbal para un estudiante de 1° básico.
Debe estar alineado con el siguiente Objetivo de Aprendizaje: Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).
Habilidad a evaluar: identificar una posición ordinal.
Condiciones curriculares: Usar números ordinales desde 1º hasta 10º..
Contexto: fila de estudiantes.
Entrega el problema, su solución y la respuesta final.
Responde únicamente con un objeto JSON válido con esta estructura: {""problem"": ""..."", ""solution"": ""..."", ""answer"": ""...""}","En una fila de estudiantes, el primero es Juan, el segundo es María, el tercero es Luis, el cuarto es Ana, el quinto es Carlos, el sexto es Diego, el séptimo es Sofía, el octavo es Pablo, el noveno es Elena y el décimo es David. ¿Cuál es el número ordinal del estudiante que está en la posición número 6 de la fila?","Para encontrar el número ordinal del estudiante que está en la posición número 6 de la fila, simplemente debemos usar el ordinal correspondiente a esa posición. El estudiante que está en la posición 6 es Diego, por lo tanto, el número ordinal de Diego es 6º.",6º,"{""problem"": ""En una fila de estudiantes, el primero es Juan, el segundo es María, el tercero es Luis, el cuarto es Ana, el quinto es Carlos, el sexto es Diego, el séptimo es Sofía, el octavo es Pablo, el noveno es Elena y el décimo es David. ¿Cuál es el número ordinal del estudiante que está en la posición número 6 de la fila?"", ""solution"": ""Para encontrar el número ordinal del estudiante que está en la posición número 6 de la fila, simplemente debemos usar el ordinal correspondiente a esa posición. El estudiante que está en la posición 6 es Diego, por lo tanto, el número ordinal de Diego es 6º."", ""answer"": ""6º""}",
MA01-OA-02-02,1° básico,Números y operaciones,MA01 OA 02,"Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).",determinar quién ocupa una posición ordinal,Usar números ordinales desde 1º hasta 10º.,carrera escolar,HuggingFaceTB/SmolLM3-3B,"Genera un problema matemático verbal para un estudiante de 1° básico.
Debe estar alineado con el siguiente Objetivo de Aprendizaje: Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).
Habilidad a evaluar: determinar quién ocupa una posición ordinal.
Condiciones curriculares: Usar números ordinales desde 1º hasta 10º..
Contexto: carrera escolar.
Entrega el problema, su solución y la respuesta final.
Responde únicamente con un objeto JSON válido con esta estructura: {""problem"": ""..."", ""solution"": ""..."", ""answer"": ""...""}","En una carrera escolar, 10 estudiantes compitieron. Los estudiantes se clasificaron en el siguiente orden: Juan 1º, María 2º, Pedro 3º, Ana 4º, Luis 5º, Sofía 6º, Carlos 7º, Marta 8º, Luisa 9º y Diego 10º. ¿Quién ocupó la posición 7º en la carrera?","Para determinar quién ocupó la posición 7º, debemos buscar al estudiante que aparece en el 7º lugar de la lista. En la lista de clasificación, el estudiante que ocupa la posición 7º es Carlos.",Carlos,"{""problem"": ""En una carrera escolar, 10 estudiantes compitieron. Los estudiantes se clasificaron en el siguiente orden: Juan 1º, María 2º, Pedro 3º, Ana 4º, Luis 5º, Sofía 6º, Carlos 7º, Marta 8º, Luisa 9º y Diego 10º. ¿Quién ocupó la posición 7º en la carrera?"", ""solution"": ""Para determinar quién ocupó la posición 7º, debemos buscar al estudiante que aparece en el 7º lugar de la lista. En la lista de clasificación, el estudiante que ocupa la posición 7º es Carlos."", ""answer"": ""Carlos""}",
MA01-OA-02-03,1° básico,Números y operaciones,MA01 OA 02,"Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).",ordenar elementos usando ordinales,Usar números ordinales desde 1º hasta 10º.,estantes con objetos,HuggingFaceTB/SmolLM3-3B,"Genera un problema matemático verbal para un estudiante de 1° básico.
Debe estar alineado con el siguiente Objetivo de Aprendizaje: Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).
Habilidad a evaluar: ordenar elementos usando ordinales.
Condiciones curriculares: Usar números ordinales desde 1º hasta 10º..
Contexto: estantes con objetos.
Entrega el problema, su solución y la respuesta final.
Responde únicamente con un objeto JSON válido con esta estructura: {""problem"": ""..."", ""solution"": ""..."", ""answer"": ""...""}","En un almacén hay 10 estantes con diferentes objetos. Los estantes están ordenados de izquierda a derecha. El primer estante (1º) tiene una caja de zapatos, el segundo (2º) tiene un libro, el tercero (3º) tiene un bolígrafo, el cuarto (4º) tiene una pelota, el quinto (5º) tiene una taza, el sexto (6º) tiene un lápiz, el séptimo (7º) tiene una taza, el octavo (8º) tiene una caja de lápices, el noveno (9º) tiene una pelota y el décimo (10º) tiene un libro. ¿Qué objeto hay en el séptimo estante?","Para encontrar el objeto en el séptimo estante, debemos identificar el séptimo elemento de la lista de objetos ordenados. Según la información proporcionada, el séptimo estante (7º) tiene una taza.",La taza,"{""problem"": ""En un almacén hay 10 estantes con diferentes objetos. Los estantes están ordenados de izquierda a derecha. El primer estante (1º) tiene una caja de zapatos, el segundo (2º) tiene un libro, el tercero (3º) tiene un bolígrafo, el cuarto (4º) tiene una pelota, el quinto (5º) tiene una taza, el sexto (6º) tiene un lápiz, el séptimo (7º) tiene una taza, el octavo (8º) tiene una caja de lápices, el noveno (9º) tiene una pelota y el décimo (10º) tiene un libro. ¿Qué objeto hay en el séptimo estante?"", ""solution"": ""Para encontrar el objeto en el séptimo estante, debemos identificar el séptimo elemento de la lista de objetos ordenados. Según la información proporcionada, el séptimo estante (7º) tiene una taza."", ""answer"": ""La taza""}",
MA01-OA-02-04,1° básico,Números y operaciones,MA01 OA 02,"Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).",relacionar posición y número ordinal,Usar números ordinales desde 1º hasta 10º.,turnos de juego,HuggingFaceTB/SmolLM3-3B,"Genera un problema matemático verbal para un estudiante de 1° básico.
Debe estar alineado con el siguiente Objetivo de Aprendizaje: Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).
Habilidad a evaluar: relacionar posición y número ordinal.
Condiciones curriculares: Usar números ordinales desde 1º hasta 10º..
Contexto: turnos de juego.
Entrega el problema, su solución y la respuesta final.
Responde únicamente con un objeto JSON válido con esta estructura: {""problem"": ""..."", ""solution"": ""..."", ""answer"": ""...""}","Durante un juego de mesa, los jugadores se turnan en el siguiente orden: 1º, 2º, 3º, 4º, 5º, 6º, 7º, 8º, 9º y 10º. ¿Cuál es el número ordinal del jugador que juega en el tercer turno?",El número ordinal del jugador que juega en el tercer turno es el 3º.,3º,"{""problem"": ""Durante un juego de mesa, los jugadores se turnan en el siguiente orden: 1º, 2º, 3º, 4º, 5º, 6º, 7º, 8º, 9º y 10º. ¿Cuál es el número ordinal del jugador que juega en el tercer turno?"", ""solution"": ""El número ordinal del jugador que juega en el tercer turno es el 3º."", ""answer"": ""3º""}",
MA01-OA-02-05,1° básico,Números y operaciones,MA01 OA 02,"Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).",interpretar posiciones en una secuencia,Usar números ordinales desde 1º hasta 10º.,orden de llegada,HuggingFaceTB/SmolLM3-3B,"Genera un problema matemático verbal para un estudiante de 1° básico.
Debe estar alineado con el siguiente Objetivo de Aprendizaje: Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).
Habilidad a evaluar: interpretar posiciones en una secuencia.
Condiciones curriculares: Usar números ordinales desde 1º hasta 10º..
Contexto: orden de llegada.
Entrega el problema, su solución y la respuesta final.
Responde únicamente con un objeto JSON válido con esta estructura: {""problem"": ""..."", ""solution"": ""..."", ""answer"": ""...""}","Un grupo de 10 niños llegaron a la escuela. ¿Cuál es el orden de llegada de los niños si el primero llegó a las 8:00 AM, el segundo a las 8:05 AM, el tercero a las 8:10 AM, el cuarto a las 8:15 AM, el quinto a las 8:20 AM, el sexto a las 8:25 AM, el séptimo a las 8:30 AM, el octavo a las 8:35 AM, el noveno a las 8:40 AM y el décimo a las 8:45 AM?","Para determinar el orden de llegada de los niños, primero listamos los números ordinales correspondientes a cada posición en la secuencia: 1º, 2º, 3º, 4º, 5º, 6º, 7º, 8º, 9º y 10º. Luego, asociamos cada número ordinal con la hora de llegada: 1º llegó a las 8:00 AM, 2º a las 8:05 AM, 3º a las 8:10 AM, 4º a las 8:15 AM, 5º a las 8:20 AM, 6º a las 8:25 AM, 7º a las 8:30 AM, 8º a las 8:35 AM, 9º a las 8:40 AM y 10º a las 8:45 AM. Por lo tanto, el orden de llegada de los niños es: 1º, 2º, 3º, 4º, 5º, 6º, 7º, 8º, 9º y 10º.","El orden de llegada de los niños es 1º, 2º, 3º, 4º, 5º, 6º, 7º, 8º, 9º y 10º.","{""problem"": ""Un grupo de 10 niños llegaron a la escuela. ¿Cuál es el orden de llegada de los niños si el primero llegó a las 8:00 AM, el segundo a las 8:05 AM, el tercero a las 8:10 AM, el cuarto a las 8:15 AM, el quinto a las 8:20 AM, el sexto a las 8:25 AM, el séptimo a las 8:30 AM, el octavo a las 8:35 AM, el noveno a las 8:40 AM y el décimo a las 8:45 AM?"", ""solution"": ""Para determinar el orden de llegada de los niños, primero listamos los números ordinales correspondientes a cada posición en la secuencia: 1º, 2º, 3º, 4º, 5º, 6º, 7º, 8º, 9º y 10º. Luego, asociamos cada número ordinal con la hora de llegada: 1º llegó a las 8:00 AM, 2º a las 8:05 AM, 3º a las 8:10 AM, 4º a las 8:15 AM, 5º a las 8:20 AM, 6º a las 8:25 AM, 7º a las 8:30 AM, 8º a las 8:35 AM, 9º a las 8:40 AM y 10º a las 8:45 AM. Por lo tanto, el orden de llegada de los niños es: 1º, 2º, 3º, 4º, 5º, 6º, 7º, 8º, 9º y 10º."", ""answer"": ""El orden de llegada de los niños es 1º, 2º, 3º, 4º, 5º, 6º, 7º, 8º, 9º y 10º.""}",
MA01-OA-04-01,1° básico,Números y operaciones,MA01 OA 04,"Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.",comparar dos números,Usar números naturales entre 0 y 20.,colección de juguetes,HuggingFaceTB/SmolLM3-3B,"Genera un problema matemático verbal para un estudiante de 1° básico.
Debe estar alineado con el siguiente Objetivo de Aprendizaje: Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.
Habilidad a evaluar: comparar dos números.
Condiciones curriculares: Usar números naturales entre 0 y 20..
Contexto: colección de juguetes.
Entrega el problema, su solución y la respuesta final.
Responde únicamente con un objeto JSON válido con esta estructura: {""problem"": ""..."", ""solution"": ""..."", ""answer"": ""...""}","En una caja de juguetes, hay 5 muñecas y 7 peluches. ¿Cuál es el número de juguetes que hay en total en la caja? ¿Cuál es el número de peluches que hay menos que el número de muñecas?","Primero, sumamos el número de muñecas y peluches: 5 + 7 = 12 juguetes en total. Luego, comparamos el número de peluches (7) con el número de muñecas (5). 5 es menos que 7.","12 juguetes en total, y 5 es menos que 7 peluches.","{""problem"": ""En una caja de juguetes, hay 5 muñecas y 7 peluches. ¿Cuál es el número de juguetes que hay en total en la caja? ¿Cuál es el número de peluches que hay menos que el número de muñecas?"", ""solution"": ""Primero, sumamos el número de muñecas y peluches: 5 + 7 = 12 juguetes en total. Luego, comparamos el número de peluches (7) con el número de muñecas (5). 5 es menos que 7."", ""answer"": ""12 juguetes en total, y 5 es menos que 7 peluches.""}",
MA01-OA-04-02,1° básico,Números y operaciones,MA01 OA 04,"Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.",ordenar números de menor a mayor,Usar números naturales entre 0 y 20.,puntajes de un juego,HuggingFaceTB/SmolLM3-3B,"Genera un problema matemático verbal para un estudiante de 1° básico.
Debe estar alineado con el siguiente Objetivo de Aprendizaje: Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.
Habilidad a evaluar: ordenar números de menor a mayor.
Condiciones curriculares: Usar números naturales entre 0 y 20..
Contexto: puntajes de un juego.
Entrega el problema, su solución y la respuesta final.
Responde únicamente con un objeto JSON válido con esta estructura: {""problem"": ""..."", ""solution"": ""..."", ""answer"": ""...""}","En un juego de cartas, los jugadores reciben un puntaje entre 0 y 20 basado en sus habilidades. El puntaje más bajo que se puede obtener es 0 y el más alto es 20. Los jugadores quieren saber cuál es el puntaje más bajo y cuál es el más alto. Ayúdalos a ordenar los puntajes de menor a mayor. Los puntajes son: 5, 12, 0, 18, 7, 15, 2, 19, 10, 8. ¿Cuál es el puntaje más bajo y cuál es el más alto?","Primero, ordenamos los números de menor a mayor: 0, 2, 5, 7, 8, 10, 12, 15, 18, 19. El puntaje más bajo es 0 y el más alto es 19.",0 y 19,"{""problem"": ""En un juego de cartas, los jugadores reciben un puntaje entre 0 y 20 basado en sus habilidades. El puntaje más bajo que se puede obtener es 0 y el más alto es 20. Los jugadores quieren saber cuál es el puntaje más bajo y cuál es el más alto. Ayúdalos a ordenar los puntajes de menor a mayor. Los puntajes son: 5, 12, 0, 18, 7, 15, 2, 19, 10, 8. ¿Cuál es el puntaje más bajo y cuál es el más alto?"", ""solution"": ""Primero, ordenamos los números de menor a mayor: 0, 2, 5, 7, 8, 10, 12, 15, 18, 19. El puntaje más bajo es 0 y el más alto es 19."", ""answer"": ""0 y 19""}",
MA01-OA-04-03,1° básico,Números y operaciones,MA01 OA 04,"Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.",ordenar números de mayor a menor,Usar números naturales entre 0 y 20.,cantidad de frutas,HuggingFaceTB/SmolLM3-3B,"Genera un problema matemático verbal para un estudiante de 1° básico.
Debe estar alineado con el siguiente Objetivo de Aprendizaje: Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.
Habilidad a evaluar: ordenar números de mayor a menor.
Condiciones curriculares: Usar números naturales entre 0 y 20..
Contexto: cantidad de frutas.
Entrega el problema, su solución y la respuesta final.
Responde únicamente con un objeto JSON válido con esta estructura: {""problem"": ""..."", ""solution"": ""..."", ""answer"": ""...""}",Hermes tiene 5 manzanas y 10 plátanos. ¿Cuántas frutas tiene en total? ¿Cuál es la cantidad de manzanas si se compara con la cantidad de plátanos?,"Primero, sumamos la cantidad de manzanas y plátanos: 5 manzanas + 10 plátanos = 15 frutas en total. Luego, para comparar la cantidad de manzanas con la cantidad de plátanos, restamos la cantidad de manzanas de la cantidad de plátanos: 10 plátanos - 5 manzanas = 5 plátanos más que manzanas.","15 frutas en total, 5 plátanos más que manzanas","{""problem"": ""Hermes tiene 5 manzanas y 10 plátanos. ¿Cuántas frutas tiene en total? ¿Cuál es la cantidad de manzanas si se compara con la cantidad de plátanos?"", ""solution"": ""Primero, sumamos la cantidad de manzanas y plátanos: 5 manzanas + 10 plátanos = 15 frutas en total. Luego, para comparar la cantidad de manzanas con la cantidad de plátanos, restamos la cantidad de manzanas de la cantidad de plátanos: 10 plátanos - 5 manzanas = 5 plátanos más que manzanas."", ""answer"": ""15 frutas en total, 5 plátanos más que manzanas""}",
MA01-OA-04-04,1° básico,Números y operaciones,MA01 OA 04,"Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.",identificar el número mayor o menor,Usar números naturales entre 0 y 20.,libros leídos,HuggingFaceTB/SmolLM3-3B,"Genera un problema matemático verbal para un estudiante de 1° básico.
Debe estar alineado con el siguiente Objetivo de Aprendizaje: Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.
Habilidad a evaluar: identificar el número mayor o menor.
Condiciones curriculares: Usar números naturales entre 0 y 20..
Contexto: libros leídos.
Entrega el problema, su solución y la respuesta final.
Responde únicamente con un objeto JSON válido con esta estructura: {""problem"": ""..."", ""solution"": ""..."", ""answer"": ""...""}","Había una vez un libro llamado 'La Aventura de los Números'. En este libro, los números del 0 al 20 se presentan en una aventura mágica. Los números van en orden de menor a mayor, pero se pierden y necesitas ayudar a los niños a encontrarlos y ordenarlos nuevamente. ¿Puedes encontrar el número más pequeño y el más grande entre los siguientes: 5, 9, 1, 12, 7, 15, 3, 20, 8, 14, 2, 10, 6, 18, 4, 16, 11, 13, 19, 17? Ordena los números del 0 al 20 de menor a mayor y resuelve la aventura de los números.","Primero, identificamos el número más pequeño, que es 0, y el número más grande, que es 20. Luego, ordenamos los números del 0 al 20 de menor a mayor: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20.","La respuesta final es: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20.","{""problem"": ""Había una vez un libro llamado 'La Aventura de los Números'. En este libro, los números del 0 al 20 se presentan en una aventura mágica. Los números van en orden de menor a mayor, pero se pierden y necesitas ayudar a los niños a encontrarlos y ordenarlos nuevamente. ¿Puedes encontrar el número más pequeño y el más grande entre los siguientes: 5, 9, 1, 12, 7, 15, 3, 20, 8, 14, 2, 10, 6, 18, 4, 16, 11, 13, 19, 17? Ordena los números del 0 al 20 de menor a mayor y resuelve la aventura de los números."", ""solution"": ""Primero, identificamos el número más pequeño, que es 0, y el número más grande, que es 20. Luego, ordenamos los números del 0 al 20 de menor a mayor: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20."", ""answer"": ""La respuesta final es: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20.""}",
MA01-OA-04-05,1° básico,Números y operaciones,MA01 OA 04,"Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.",insertar un número en una secuencia ordenada,Usar números naturales entre 0 y 20.,animales de juguete,HuggingFaceTB/SmolLM3-3B,"Genera un problema matemático verbal para un estudiante de 1° básico.
Debe estar alineado con el siguiente Objetivo de Aprendizaje: Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.
Habilidad a evaluar: insertar un número en una secuencia ordenada.
Condiciones curriculares: Usar números naturales entre 0 y 20..
Contexto: animales de juguete.
Entrega el problema, su solución y la respuesta final.
Responde únicamente con un objeto JSON válido con esta estructura: {""problem"": ""..."", ""solution"": ""..."", ""answer"": ""...""}","Tienes 20 juguetes animales en una bolsa. Quieres ordenarlos de menor a mayor según su tamaño. Los juguetes son: 1 oveja, 3 conejos, 5 gatos, 2 pájaros, 4 tigres y 5 peces. ¿Cuál es el orden correcto de los juguetes de menor a mayor según su tamaño? Responde con la lista ordenada.","Primero, vamos a listar los juguetes y sus cantidades: 1 oveja, 3 conejos, 5 gatos, 2 pájaros, 4 tigres y 5 peces. Luego, ordenamos los juguetes según su cantidad: 1 oveja, 2 pájaros, 3 conejos, 4 tigres, 5 gatos y 5 peces. Por último, agrupamos los juguetes con el mismo tamaño: 1 oveja, 2 pájaros, 3 conejos, 4 tigres, 5 gatos y 5 peces.","La secuencia correcta de los juguetos de menor a mayor según su tamaño es: 1 oveja, 2 pájaros, 3 conejos, 4 tigres, 5 gatos y 5 peces.","{""problem"": ""Tienes 20 juguetes animales en una bolsa. Quieres ordenarlos de menor a mayor según su tamaño. Los juguetes son: 1 oveja, 3 conejos, 5 gatos, 2 pájaros, 4 tigres y 5 peces. ¿Cuál es el orden correcto de los juguetes de menor a mayor según su tamaño? Responde con la lista ordenada."", ""solution"": ""Primero, vamos a listar los juguetes y sus cantidades: 1 oveja, 3 conejos, 5 gatos, 2 pájaros, 4 tigres y 5 peces. Luego, ordenamos los juguetes según su cantidad: 1 oveja, 2 pájaros, 3 conejos, 4 tigres, 5 gatos y 5 peces. Por último, agrupamos los juguetes con el mismo tamaño: 1 oveja, 2 pájaros, 3 conejos, 4 tigres, 5 gatos y 5 peces."", ""answer"": ""La secuencia correcta de los juguetos de menor a mayor según su tamaño es: 1 oveja, 2 pájaros, 3 conejos, 4 tigres, 5 gatos y 5 peces.""}",
